state,head_of_state_salary_usd,post,source1,source2,source3,head_of_government_salary_usd,post_hg,source1_hg,source2_hg,source3_hg,head_of_state_salary_divided_by_gdp_1_per_million,head_of_government_salary_divided_by_gdp_1_per_million,head_of_state_salary_divided_by_gdp_per_capita,head_of_government_salary_divided_by_gdp_per_capita,iso3
India,84500, President, 70,NA,NA,66000, Prime Minister, 71,NA,NA,0.6415,0.0107,43.8729,14.12,IND
Indonesia,51600, President, 72,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,32.0359,NA,IDN
Iran,0, Supreme Leader, 73,NA,NA,20400, President, 74,NA,NA,0.6415,0.0439,NA,3.5715,IRN
Iraq,809673, President, 19,NA,NA,96000, Prime Minister, 75,NA,NA,0.6415,0.4856,159.1338,18.8679,IRQ
Ireland,401000, President, 76,NA,NA,237000, Taoiseach, 77,NA,NA,0.6415,0.7096,5.6768,3.3551,IRL
Israel,173000, President, 18,NA,NA,168210, Prime Minister, 18,NA,NA,0.6415,0.4798,4.2973,4.1783,ISR
Italy,275147, President, 33,NA,NA,131608, Prime Minister, 28,NA,NA,0.6415,0.0679,8.6026,4.1148,ITA
Jamaica,70400, Governor General, 78, 79,NA,57545, Prime Minister, 80,NA,NA,0.6415,3.359,NA,9.5087,JAM
Japan,3075316, Emperor royal grant, 18,NA,NA,254932, Prime Minister, 33, 18,NA,0.6415,0.0416,80.3041,5.2732,JPN
Jordan,847457, King, 81,NA,NA,253800, Prime Minister, 82,NA,NA,0.6415,6.2687,NA,44.6988,JOR
Kazakhstan,20400, President, 83, 84,NA,2630, Ministers, 85,NA,NA,0.6415,0.0164,2.3074,0.2975,KAZ
Kenya,192200, President, 86, 6, 7,173300, Deputy President, 86,NA,NA,0.6415,NA,77.5558,NA,KEN
Kiribati,11158, President, 87,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,5.4201,NA,KIR
Kuwait,165000000, Emir royal allocation , 88, 89,NA,NA,NA,NA,NA,NA,0.6415,NA,NA,NA,KWT
Kyrgyzstan,18800, President, *citation needed*,NA,NA,12800, Prime Minister, *citation needed*,NA,NA,0.6415,1.8128,16.4336,11.1888,KGZ
Laos,1630, President, 90,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,NA,NA,LAO
Latvia,70718, President, 18,NA,NA,59644, Prime Minister, 18,NA,NA,0.6415,1.9672,4.5487,3.8364,LVA
Lebanon,150000, President, 91,NA,NA,141900, Prime Minister, 91,NA,NA,0.6415,2.9151,13.1475,13.1475,LBN
Lesotho,52778, King privy purse, 92,NA,NA,36650, Prime Minister, 7,NA,NA,0.6415,13.4693,NA,25.7193,LSO
Liberia,90000, President, 6,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,123.4568,NA,LBR
Libya,105000, President, 6,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,21.6094,NA,LBY
Liechtenstein,0, Prince, 9,NA,NA,254660, Prime Minister, 93,NA,NA,0.6415,NA,NA,NA,LIE
Lithuania,86136, President, 6,NA,NA,NA,NA,NA,NA,NA,0.6415,1.06,5.1486,2.9946,LTU
Luxembourg,12333102, Grand Duke royal grant, 9,NA,NA,278000, Prime Minister, 18,NA,NA,0.6415,4.4556,116.5667,2.6275,LUX
Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,NA,NA,MDG
Malawi,74300, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,229.321,NA,MWI
Malaysia,263500, Yang di Pertuan Agong, 94,NA,NA,61844, Prime Minister, 95, 96,NA,0.6415,0.1966,26.8521,6.3023,MYS
Maldives,77768, President, 97,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,6.208,NA,MDV
Mali,68900, President, 7,NA,NA,23280, Prime Minister, 98,NA,NA,0.6415,NA,84.9568,NA,MLI
Malta,70955, President, 99,NA,NA,56900, Prime Minister, 100,NA,NA,0.6415,4.7373,2.6039,2.0881,MLT
Marshall Islands,60000, President, 101,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,NA,NA,MHL
Mauritania,300000, President, 102, 75,NA,NA,NA,NA,NA,NA,0.6415,NA,227.6176,NA,MRT
Mauritius,93783, President, 103,NA,NA,187968, Prime Minister, 104,NA,NA,0.6415,15.3156,9.5756,19.1922,MUS
Mexico,67903, President, 105,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,7.2981,NA,MEX
Micronesia,32000, President, 106,NA,NA,30000, Vice President, 106,NA,NA,0.6415,91.1854,10,9.375,FSM
Moldova,9264, President , 107,NA,NA,6433, Prime Minister , 107,NA,NA,0.6415,0.8097,4.0632,2.8215,MDA
Monaco,52063000, Prince royal grant, 9,NA,NA,202000, Minister of State, 108,NA,NA,0.6415,NA,NA,NA,MCO
Mongolia,11620, President , 109,NA,NA,11390, Prime Minister , 110, 109,NA,0.6415,0.8225,2.5088,2.456,MNG
Montenegro,33440, President, 4,NA,NA,15522, Prime Minister, 5,NA,NA,0.6415,3.5237,4.373,2.0298,MNE
Morocco,488604, King, 7,NA,NA,62500, Prime Minister, 111,NA,NA,0.6415,NA,155.0632,NA,MAR
Mozambique,46800, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,109.0909,NA,MOZ
Myanmar,40980, President, 112,NA,NA,32784, Vice President, 112,NA,NA,0.6415,NA,NA,NA,MMR
Namibia,99241, President, 113, 7,NA,76339, Prime Minister, 113,NA,NA,0.6415,6.0789,18.3338,14.1029,NAM
Nauru,74411, President, 114,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,8.6777,0,NRU
Nepal,17584, President, 115,NA,NA,9033, Prime Minister, 115,NA,NA,0.6415,0.3691,21.0839,10.8309,NPL
